,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
1990,AK,Final,"167,998","1,661,309",.,10.11,"177,645","1,972,116",.,9.01,"36,308","459,283",.,7.91,.,.,.,.,"21,301","161,130",.,13.22,"403,247","4,253,839",.,9.48
1990,AL,Final,"1,366,083","20,718,679",.,6.59,"738,047","10,978,788",.,6.72,"1,199,222","27,617,687",.,4.34,.,.,.,.,"34,241","610,459",.,5.61,"3,337,594","59,925,613",.,5.57
1990,AR,Final,"851,685","10,557,865",.,8.07,"422,196","6,075,078",.,6.95,"516,152","10,126,207",.,5.10,.,.,.,.,"42,942","606,143",.,7.08,"1,832,979","27,365,296",.,6.70
1990,AZ,Final,"1,390,115","15,377,684",.,9.04,"1,138,694","13,731,291",.,8.29,"560,111","10,033,741",.,5.58,.,.,.,.,"125,807","2,326,872",.,5.41,"3,214,725","41,469,585",.,7.75
1990,CA,Final,"6,646,479","66,574,670",.,9.98,"7,541,253","79,691,298",.,9.46,"4,071,492","55,891,513",.,7.28,.,.,.,.,"404,381","8,935,441",.,4.53,"18,663,604","211,092,921",.,8.84
1990,CO,Final,"687,084","9,787,279",.,7.02,"768,032","13,553,025",.,5.67,"295,788","6,586,860",.,4.49,.,.,.,.,"63,149","867,424",.,7.28,"1,814,049","30,794,589",.,5.89
1990,CT,Final,"1,038,460","10,375,882",.,10.01,"942,670","10,342,476",.,9.11,"460,626","6,099,932",.,7.55,.,.,.,.,"47,353","368,947",.,12.83,"2,489,109","27,187,240",.,9.16
1990,DC,Final,"90,320","1,480,356",.,6.10,"322,119","5,073,157",.,6.35,"153,717","2,976,219",.,5.16,.,.,.,.,"18,427","318,713",.,5.78,"584,583","9,848,445",.,5.94
1990,DE,Final,"222,545","2,651,447",.,8.39,"159,717","2,310,713",.,6.91,"147,636","3,271,591",.,4.51,.,.,.,.,"5,179","50,114",.,10.33,"535,072","8,283,868",.,6.46
1990,FL,Final,"5,527,171","71,114,670",.,7.77,"3,421,034","51,342,235",.,6.66,"844,104","16,604,581",.,5.08,.,.,.,.,"305,558","4,473,395",.,6.83,"10,097,869","143,534,878",.,7.04
1990,GA,Final,"2,233,265","29,932,836",.,7.46,"1,676,868","22,867,547",.,7.33,"1,290,544","26,717,324",.,4.83,.,.,.,.,"74,791","922,408",.,8.11,"5,275,470","80,440,115",.,6.56
1990,HI,Final,"238,408","2,323,950",.,10.26,"223,319","2,194,417",.,10.18,"282,628","3,733,754",.,7.57,.,.,.,.,"5,492","58,419",.,9.40,"749,848","8,310,540",.,9.02
1990,IA,Final,"821,178","10,513,101",.,7.81,"421,538","6,727,380",.,6.27,"453,290","11,392,481",.,3.98,.,.,.,.,"48,622","804,416",.,6.04,"1,744,626","29,437,380",.,5.93
1990,ID,Final,"274,082","5,626,311",.,4.87,"207,823","4,894,063",.,4.25,"187,817","7,165,289",.,2.62,.,.,.,.,"14,785","317,759",.,4.65,"684,511","18,003,422",.,3.80
1990,IL,Final,"3,260,358","32,871,442",.,9.92,"2,464,895","31,734,448",.,7.77,"2,121,723","39,298,520",.,5.40,.,.,.,.,"513,971","7,672,368",.,6.70,"8,360,944","111,576,774",.,7.49
1990,IN,Final,"1,519,282","22,110,950",.,6.87,"937,573","15,501,742",.,6.05,"1,456,485","35,743,097",.,4.07,.,.,.,.,"50,608","626,429",.,8.08,"3,963,950","73,982,218",.,5.36
1990,KS,Final,"744,998","9,514,697",.,7.83,"609,175","9,169,289",.,6.64,"399,867","8,087,146",.,4.94,.,.,.,.,"30,869","377,638",.,8.17,"1,784,908","27,148,766",.,6.57
1990,KY,Final,"957,514","16,813,545",.,5.69,"497,210","9,252,218",.,5.37,"1,165,366","32,543,260",.,3.58,.,.,.,.,"116,721","2,487,853",.,4.69,"2,736,807","61,096,873",.,4.48
1990,LA,Final,"1,587,467","21,433,524",.,7.41,"973,398","13,814,111",.,7.05,"1,082,569","25,861,968",.,4.19,.,.,.,.,"186,744","2,716,288",.,6.87,"3,830,174","63,825,890",.,6.00
1990,MA,Final,"1,504,941","15,581,196",.,9.66,"1,589,746","18,565,267",.,8.56,"801,597","10,156,904",.,7.89,.,.,.,.,"124,041","1,138,304",.,10.90,"4,020,327","45,441,672",.,8.85
1990,MD,Final,"1,379,761","19,101,665",.,7.22,"701,543","10,452,013",.,6.71,"984,268","19,308,301",.,5.10,.,.,.,.,"55,854","671,751",.,8.31,"3,121,423","49,533,729",.,6.30
1990,ME,Final,"365,519","3,932,267",.,9.30,"214,496","2,672,724",.,8.03,"283,011","4,750,046",.,5.96,.,.,.,.,"18,879","173,942",.,10.85,"881,903","11,528,975",.,7.65
1990,MI,Final,"1,982,482","25,318,851",.,7.83,"1,678,551","20,609,560",.,8.14,"2,051,269","35,062,021",.,5.85,.,.,.,.,"137,349","1,376,437",.,9.98,"5,849,651","82,366,870",.,7.10
1990,MN,Final,"1,010,592","14,857,555",.,6.80,"483,354","8,085,871",.,5.98,"973,369","23,496,826",.,4.14,.,.,.,.,"48,856","726,659",.,6.72,"2,516,172","47,166,914",.,5.33
1990,MO,Final,"1,592,729","21,652,353",.,7.36,"1,192,964","18,468,963",.,6.46,"639,878","12,937,381",.,4.95,.,.,.,.,"59,001","865,938",.,6.81,"3,484,571","53,924,638",.,6.46
1990,MS,Final,"845,127","12,265,641",.,6.89,"486,201","6,746,134",.,7.21,"578,933","12,454,455",.,4.65,.,.,.,.,"53,051","660,849",.,8.03,"1,963,314","32,127,077",.,6.11
1990,MT,Final,"183,019","3,358,385",.,5.45,"128,107","2,737,526",.,4.68,"187,147","6,529,327",.,2.87,.,.,.,.,"21,270","499,346",.,4.26,"519,544","13,124,583",.,3.96
1990,NC,Final,"2,599,409","33,144,041",.,7.84,"1,530,508","23,834,909",.,6.42,"1,491,998","31,264,698",.,4.77,.,.,.,.,"117,719","1,680,838",.,7.00,"5,739,631","89,924,487",.,6.38
1990,ND,Final,"184,784","2,954,024",.,6.26,"115,688","1,794,510",.,6.45,"84,329","1,759,713",.,4.79,.,.,.,.,"18,489","505,606",.,3.66,"403,293","7,013,849",.,5.75
1990,NE,Final,"423,389","6,799,606",.,6.23,"291,603","5,086,141",.,5.73,"193,534","4,618,082",.,4.19,.,.,.,.,"87,133","1,364,424",.,6.39,"995,665","17,868,252",.,5.57
1990,NH,Final,"356,128","3,444,196",.,10.34,"191,075","2,010,427",.,9.50,"255,513","3,418,392",.,7.47,.,.,.,.,"13,585","106,601",.,12.74,"816,302","8,979,614",.,9.09
1990,NJ,Final,"2,123,447","20,497,981",.,10.36,"2,400,040","26,838,616",.,8.94,"1,107,442","15,040,847",.,7.36,.,.,.,.,"76,504","479,244",.,15.96,"5,707,434","62,856,686",.,9.08
1990,NM,Final,"318,672","3,565,533",.,8.94,"363,175","4,464,123",.,8.14,"219,615","4,412,882",.,4.98,.,.,.,.,"79,606","1,378,224",.,5.78,"981,068","13,820,760",.,7.10
1990,NV,Final,"315,921","5,539,534",.,5.70,"239,151","3,865,559",.,6.19,"294,048","6,262,803",.,4.70,.,.,.,.,"30,697","683,998",.,4.49,"879,817","16,351,894",.,5.38
1990,NY,Final,"4,414,190","38,574,309",.,11.44,"4,911,434","46,921,091",.,10.47,"1,846,248","31,929,348",.,5.78,.,.,.,.,"947,333","11,899,687",.,7.96,"12,119,202","129,324,439",.,9.37
1990,OH,Final,"3,048,950","37,889,449",.,8.05,"2,268,895","30,540,856",.,7.43,"2,807,913","69,681,658",.,4.03,.,.,.,.,"267,473","4,353,507",.,6.14,"8,393,230","142,465,472",.,5.89
1990,OK,Final,"1,124,494","17,077,367",.,6.58,"668,062","11,633,982",.,5.74,"427,321","11,763,695",.,3.63,.,.,.,.,"108,111","2,029,174",.,5.33,"2,327,991","42,504,220",.,5.48
1990,OR,Final,"727,265","15,379,614",.,4.73,"542,606","11,319,210",.,4.79,"489,503","15,498,134",.,3.16,.,.,.,.,"37,219","780,487",.,4.77,"1,796,595","42,977,443",.,4.18
1990,PA,Final,"3,519,366","38,164,153",.,9.22,"2,359,834","29,159,184",.,8.09,"2,747,622","45,991,880",.,5.97,.,.,.,.,"155,010","1,435,443",.,10.80,"8,781,831","114,750,660",.,7.65
1990,RI,Final,"233,826","2,376,295",.,9.84,"222,634","2,492,126",.,8.93,"113,020","1,354,199",.,8.35,.,.,.,.,"17,798","196,356",.,9.06,"587,288","6,418,978",.,9.15
1990,SC,Final,"1,305,102","18,257,716",.,7.15,"733,904","11,926,736",.,6.15,"1,031,925","24,701,256",.,4.18,.,.,.,.,"42,361","766,080",.,5.53,"3,113,292","55,651,790",.,5.59
1990,SD,Final,"199,167","2,866,176",.,6.95,"96,919","1,450,044",.,6.68,"77,145","1,656,961",.,4.66,.,.,.,.,"14,838","360,714",.,4.11,"388,071","6,333,893",.,6.13
1990,TN,Final,"1,636,627","28,756,837",.,5.69,"738,774","12,127,835",.,6.09,"1,656,024","35,312,602",.,4.69,.,.,.,.,"65,026","947,496",.,6.86,"4,096,453","77,144,770",.,5.31
1990,TX,Final,"5,947,366","82,547,570",.,7.20,"3,843,076","62,238,154",.,6.17,"3,390,548","84,086,943",.,4.03,.,.,.,.,"533,621","8,542,460",.,6.25,"13,714,615","237,415,126",.,5.78
1990,UT,Final,"302,855","4,246,106",.,7.13,"282,529","4,514,613",.,6.26,"219,380","5,766,212",.,3.80,.,.,.,.,"36,361","874,744",.,4.16,"841,129","15,401,673",.,5.46
1990,VA,Final,"2,038,636","28,129,554",.,7.25,"1,225,465","20,213,040",.,6.06,"699,742","16,398,544",.,4.27,.,.,.,.,"422,268","7,955,131",.,5.31,"4,386,111","72,696,270",.,6.03
1990,VT,Final,"167,609","1,808,617",.,9.27,"126,186","1,484,125",.,8.50,"91,377","1,381,173",.,6.62,.,.,.,.,"5,132","42,317",.,12.13,"390,304","4,716,230",.,8.28
1990,WA,Final,"1,265,910","28,808,844",.,4.39,"733,561","17,682,978",.,4.15,"972,036","40,711,980",.,2.39,.,.,.,.,"120,368","3,842,350",.,3.13,"3,091,876","91,046,150",.,3.40
1990,WI,Final,"1,087,158","16,385,267",.,6.63,"733,469","12,697,933",.,5.78,"774,243","19,405,056",.,3.99,.,.,.,.,"45,942","709,772",.,6.47,"2,640,811","49,198,027",.,5.37
1990,WV,Final,"446,792","7,577,863",.,5.90,"267,444","4,991,117",.,5.36,"372,928","10,469,459",.,3.56,.,.,.,.,"7,698","93,990",.,8.19,"1,094,863","23,132,431",.,4.73
1990,WY,Final,"102,694","1,719,932",.,5.97,"112,469","2,175,802",.,5.17,"268,441","7,729,470",.,3.47,.,.,.,.,"11,344","143,635",.,7.90,"494,945","11,768,838",.,4.21
1990,US,Final,"72,378,419","924,018,694",.,7.83,"55,116,669","751,026,561",.,7.34,"44,856,812","945,521,701",.,4.74,.,.,.,.,"5,890,878","91,987,720",.,6.40,"178,242,791","2,712,554,662",.,6.57
