,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
1991,AK,Final,"171,087","1,602,778",.,10.67,"185,865","2,005,246",.,9.27,"38,275","465,877",.,8.22,.,.,.,.,"22,033","181,811",.,12.12,"417,259","4,255,712",.,9.80
1991,AL,Final,"1,424,738","21,293,429",.,6.69,"772,999","11,349,000",.,6.81,"1,223,477","27,985,477",.,4.37,.,.,.,.,"34,613","599,422",.,5.77,"3,455,828","61,227,325",.,5.64
1991,AR,Final,"891,553","11,000,634",.,8.10,"437,986","6,300,360",.,6.95,"530,630","10,517,511",.,5.05,.,.,.,.,"42,448","621,758",.,6.83,"1,902,619","28,440,256",.,6.69
1991,AZ,Final,"1,430,267","15,641,499",.,9.14,"1,160,910","13,982,060",.,8.30,"580,405","10,404,970",.,5.58,.,.,.,.,"111,705","1,819,889",.,6.14,"3,283,287","41,848,417",.,7.85
1991,CA,Final,"7,120,397","66,016,701",.,10.79,"7,876,227","78,424,653",.,10.04,"4,259,687","56,191,046",.,7.58,.,.,.,.,"404,834","8,018,089",.,5.05,"19,661,146","208,650,490",.,9.42
1991,CO,Final,"713,847","10,099,387",.,7.07,"787,282","13,741,500",.,5.73,"307,848","6,748,179",.,4.56,.,.,.,.,"63,707","867,621",.,7.34,"1,872,682","31,456,689",.,5.95
1991,CT,Final,"1,097,438","10,440,513",.,10.51,"1,001,134","10,544,096",.,9.49,"461,498","5,822,465",.,7.93,.,.,.,.,"48,899","364,334",.,13.42,"2,608,969","27,171,404",.,9.60
1991,DC,Final,"103,970","1,580,079",.,6.58,"347,984","5,238,080",.,6.64,"165,903","3,053,128",.,5.43,.,.,.,.,"19,673","323,876",.,6.07,"637,530","10,195,163",.,6.25
1991,DE,Final,"243,344","2,824,340",.,8.62,"170,122","2,419,529",.,7.03,"153,185","3,240,945",.,4.73,.,.,.,.,"5,611","51,050",.,10.99,"572,261","8,535,865",.,6.70
1991,FL,Final,"5,759,430","72,813,986",.,7.91,"3,549,204","52,440,504",.,6.77,"855,605","16,482,265",.,5.19,.,.,.,.,"315,166","4,599,488",.,6.85,"10,479,404","146,336,239",.,7.16
1991,GA,Final,"2,264,007","30,186,630",.,7.50,"1,709,681","23,240,749",.,7.36,"1,300,456","27,193,099",.,4.78,.,.,.,.,"78,453","918,604",.,8.54,"5,352,594","81,539,086",.,6.56
1991,HI,Final,"252,001","2,395,665",.,10.52,"237,453","2,297,843",.,10.33,"290,943","3,773,036",.,7.71,.,.,.,.,"5,505","57,547",.,9.57,"785,901","8,524,091",.,9.22
1991,IA,Final,"866,430","11,159,189",.,7.76,"443,932","7,123,124",.,6.23,"468,565","11,684,147",.,4.01,.,.,.,.,"50,058","815,004",.,6.14,"1,828,987","30,781,462",.,5.94
1991,ID,Final,"291,641","5,971,037",.,4.88,"206,452","4,865,138",.,4.24,"181,228","6,908,837",.,2.62,.,.,.,.,"14,526","300,592",.,4.83,"693,846","18,045,604",.,3.84
1991,IL,Final,"3,549,079","35,963,793",.,9.87,"2,632,023","33,118,782",.,7.95,"2,179,892","39,712,089",.,5.49,.,.,.,.,"552,303","8,073,893",.,6.84,"8,913,300","116,868,559",.,7.63
1991,IN,Final,"1,630,485","24,220,122",.,6.73,"973,816","16,381,408",.,5.94,"1,444,900","35,786,820",.,4.04,.,.,.,.,"51,063","645,387",.,7.91,"4,100,264","77,033,736",.,5.32
1991,KS,Final,"777,383","9,933,309",.,7.83,"632,033","9,551,119",.,6.62,"410,015","8,283,740",.,4.95,.,.,.,.,"31,283","384,058",.,8.15,"1,850,716","28,152,224",.,6.57
1991,KY,Final,"1,059,489","18,644,458",.,5.68,"528,297","9,899,869",.,5.34,"1,115,683","32,938,944",.,3.39,.,.,.,.,"126,064","2,710,528",.,4.65,"2,829,530","64,193,803",.,4.41
1991,LA,Final,"1,595,960","21,576,815",.,7.40,"981,886","13,970,338",.,7.03,"1,102,231","26,583,901",.,4.15,.,.,.,.,"163,708","2,573,244",.,6.36,"3,843,787","64,704,299",.,5.94
1991,MA,Final,"1,599,159","15,379,420",.,10.40,"1,707,623","18,516,908",.,9.22,"834,697","9,793,514",.,8.52,.,.,.,.,"128,981","1,106,948",.,11.65,"4,270,460","44,796,786",.,9.53
1991,MD,Final,"1,602,645","20,295,448",.,7.90,"749,556","10,667,414",.,7.03,"1,069,135","19,448,114",.,5.50,.,.,.,.,"60,952","696,831",.,8.75,"3,482,287","51,107,809",.,6.81
1991,ME,Final,"399,076","3,817,134",.,10.45,"243,243","2,685,496",.,9.06,"315,578","4,708,840",.,6.70,.,.,.,.,"20,969","171,310",.,12.24,"978,863","11,382,783",.,8.60
1991,MI,Final,"2,157,926","26,759,510",.,8.06,"1,756,558","21,454,733",.,8.19,"2,061,462","35,006,635",.,5.89,.,.,.,.,"118,905","1,297,662",.,9.16,"6,094,851","84,518,542",.,7.21
1991,MN,Final,"1,082,883","15,655,101",.,6.92,"510,517","8,416,649",.,6.07,"1,018,593","23,937,845",.,4.26,.,.,.,.,"51,639","745,003",.,6.93,"2,663,630","48,754,597",.,5.46
1991,MO,Final,"1,727,704","23,386,303",.,7.39,"1,220,603","19,111,774",.,6.39,"642,814","13,113,854",.,4.90,.,.,.,.,"62,269","902,226",.,6.90,"3,653,390","56,514,157",.,6.46
1991,MS,Final,"861,027","12,517,521",.,6.88,"490,685","6,831,769",.,7.18,"585,267","13,024,289",.,4.49,.,.,.,.,"50,816","645,806",.,7.87,"1,987,794","33,019,383",.,6.02
1991,MT,Final,"199,218","3,458,894",.,5.76,"140,943","2,818,850",.,5.00,"193,272","6,622,098",.,2.92,.,.,.,.,"22,016","506,759",.,4.34,"555,447","13,406,599",.,4.14
1991,NC,Final,"2,732,678","34,390,833",.,7.95,"1,599,950","24,675,722",.,6.48,"1,517,631","31,514,220",.,4.82,.,.,.,.,"122,335","1,735,708",.,7.05,"5,972,598","92,316,484",.,6.47
1991,ND,Final,"192,380","3,096,206",.,6.21,"119,932","1,875,987",.,6.39,"85,736","1,762,079",.,4.87,.,.,.,.,"19,524","520,927",.,3.75,"417,569","7,255,202",.,5.76
1991,NE,Final,"434,977","7,138,298",.,6.09,"297,022","5,291,348",.,5.61,"194,676","4,689,781",.,4.15,.,.,.,.,"92,452","1,485,762",.,6.22,"1,019,127","18,605,193",.,5.48
1991,NH,Final,"348,362","3,356,706",.,10.38,"194,741","2,029,125",.,9.60,"242,788","3,265,025",.,7.44,.,.,.,.,"14,183","110,920",.,12.79,"800,075","8,761,774",.,9.13
1991,NJ,Final,"2,329,102","21,539,104",.,10.81,"2,558,933","27,627,097",.,9.26,"1,152,466","15,031,232",.,7.67,.,.,.,.,"79,153","485,119",.,16.32,"6,119,656","64,682,552",.,9.46
1991,NM,Final,"332,973","3,665,111",.,9.08,"373,237","4,532,875",.,8.23,"219,734","4,546,441",.,4.83,.,.,.,.,"78,948","1,339,514",.,5.89,"1,004,892","14,083,945",.,7.14
1991,NV,Final,"340,691","5,781,827",.,5.89,"252,157","3,986,737",.,6.32,"305,521","6,172,513",.,4.95,.,.,.,.,"33,428","684,343",.,4.88,"931,794","16,625,419",.,5.60
1991,NY,Final,"4,689,927","39,177,424",.,11.97,"5,098,819","46,981,962",.,10.85,"1,917,863","31,111,531",.,6.16,.,.,.,.,"957,877","12,140,051",.,7.89,"12,664,493","129,410,968",.,9.79
1991,OH,Final,"3,339,526","40,942,448",.,8.16,"2,434,500","32,325,492",.,7.53,"2,849,833","67,856,138",.,4.20,.,.,.,.,"275,687","4,534,241",.,6.08,"8,899,547","145,658,320",.,6.11
1991,OK,Final,"1,077,659","15,324,940",.,7.03,"643,299","10,586,713",.,6.08,"439,794","11,414,862",.,3.85,.,.,.,.,"116,952","2,077,881",.,5.63,"2,277,704","39,404,397",.,5.78
1991,OR,Final,"767,600","15,949,121",.,4.81,"563,115","11,614,084",.,4.85,"481,755","15,296,761",.,3.15,.,.,.,.,"41,912","790,788",.,5.30,"1,854,385","43,650,751",.,4.25
1991,PA,Final,"3,794,766","39,597,641",.,9.58,"2,539,487","30,552,516",.,8.31,"2,812,918","44,728,178",.,6.29,.,.,.,.,"163,372","1,458,664",.,11.20,"9,310,545","116,336,997",.,8.00
1991,RI,Final,"260,404","2,368,832",.,10.99,"244,375","2,474,169",.,9.88,"126,361","1,363,160",.,9.27,.,.,.,.,"19,941","196,886",.,10.13,"651,086","6,403,046",.,10.17
1991,SC,Final,"1,350,524","18,706,763",.,7.22,"759,906","12,208,945",.,6.22,"1,055,633","25,360,811",.,4.16,.,.,.,.,"45,282","792,815",.,5.71,"3,211,345","57,069,331",.,5.63
1991,SD,Final,"209,969","3,039,890",.,6.91,"102,413","1,521,975",.,6.73,"80,008","1,726,159",.,4.64,.,.,.,.,"17,263","397,117",.,4.35,"409,650","6,685,142",.,6.13
1991,TN,Final,"1,671,412","29,605,275",.,5.65,"734,742","12,096,992",.,6.07,"1,606,856","35,667,295",.,4.51,.,.,.,.,"70,082","1,020,578",.,6.87,"4,083,092","78,390,143",.,5.21
1991,TX,Final,"6,361,303","84,088,110",.,7.57,"4,041,271","61,447,400",.,6.58,"3,488,788","84,122,423",.,4.15,.,.,.,.,"663,082","10,693,854",.,6.20,"14,554,446","240,351,789",.,6.06
1991,UT,Final,"317,478","4,460,041",.,7.12,"288,399","4,733,977",.,6.09,"226,080","5,875,923",.,3.85,.,.,.,.,"36,602","837,460",.,4.37,"868,558","15,907,404",.,5.46
1991,VA,Final,"2,173,237","29,607,347",.,7.34,"1,284,045","21,230,493",.,6.05,"677,829","16,028,804",.,4.23,.,.,.,.,"440,896","8,244,506",.,5.35,"4,576,008","75,111,149",.,6.09
1991,VT,Final,"169,922","1,783,450",.,9.53,"133,098","1,491,488",.,8.92,"97,504","1,389,670",.,7.02,.,.,.,.,"5,348","39,849",.,13.42,"405,872","4,704,455",.,8.63
1991,WA,Final,"1,303,940","29,889,138",.,4.36,"760,389","18,143,350",.,4.19,"936,907","40,838,987",.,2.29,.,.,.,.,"123,193","3,842,033",.,3.21,"3,124,426","92,713,508",.,3.37
1991,WI,Final,"1,168,339","17,349,466",.,6.73,"773,960","13,308,794",.,5.82,"793,317","19,685,676",.,4.03,.,.,.,.,"45,978","688,270",.,6.68,"2,781,595","51,032,208",.,5.45
1991,WV,Final,"479,402","8,106,274",.,5.91,"282,410","5,218,904",.,5.41,"374,433","10,205,954",.,3.67,.,.,.,.,"8,071","93,814",.,8.60,"1,144,319","23,624,946",.,4.84
1991,WY,Final,"109,223","1,819,414",.,6.00,"120,033","2,310,466",.,5.20,"261,504","7,498,103",.,3.49,.,.,.,.,"8,531","128,862",.,6.62,"499,291","11,756,847",.,4.25
1991,US,Final,"76,827,978","955,417,354",.,8.04,"57,655,247","765,663,602",.,7.53,"45,737,179","946,583,391",.,4.83,.,.,.,.,"6,138,291","94,338,702",.,6.51,"186,358,705","2,762,003,050",.,6.75
1992,AK,Final,"177,544","1,640,135",.,10.82,"192,321","2,034,708",.,9.45,"39,055","504,279",.,7.74,.,.,.,.,"22,715","159,812",.,14.21,"431,635","4,338,935",.,9.95
1992,AL,Final,"1,413,407","21,136,707",.,6.69,"747,867","10,916,982",.,6.85,"1,263,895","29,476,078",.,4.29,.,.,.,.,"37,175","636,894",.,5.84,"3,462,344","62,166,661",.,5.57
1992,AR,Final,"864,632","10,440,089",.,8.28,"439,277","6,176,586",.,7.11,"564,554","11,251,478",.,5.02,.,.,.,.,"39,475","582,958",.,6.77,"1,907,939","28,451,113",.,6.71
1992,AZ,Final,"1,555,072","16,230,296",.,9.58,"1,249,968","14,467,710",.,8.64,"636,648","11,055,251",.,5.76,.,.,.,.,"109,024","1,898,014",.,5.74,"3,550,710","43,651,271",.,8.13
1992,CA,Final,"7,543,676","68,121,106",.,11.07,"8,291,326","80,234,568",.,10.33,"4,333,426","57,089,509",.,7.59,.,.,.,.,"443,140","8,002,059",.,5.54,"20,611,569","213,447,241",.,9.66
1992,CO,Final,"735,776","10,215,715",.,7.20,"801,250","13,897,582",.,5.77,"314,365","6,848,997",.,4.59,.,.,.,.,"65,426","859,677",.,7.61,"1,916,818","31,821,971",.,6.02
1992,CT,Final,"1,162,265","10,496,046",.,11.07,"1,034,214","10,484,811",.,9.86,"475,114","5,779,536",.,8.22,.,.,.,.,"51,026","366,579",.,13.92,"2,722,617","27,126,973",.,10.04
1992,DC,Final,"98,401","1,487,974",.,6.61,"360,963","5,226,804",.,6.91,"169,613","2,987,181",.,5.68,.,.,.,.,"21,246","341,061",.,6.23,"650,222","10,043,021",.,6.47
1992,DE,Final,"241,277","2,786,233",.,8.66,"171,523","2,445,195",.,7.01,"152,983","3,248,214",.,4.71,.,.,.,.,"5,707","52,741",.,10.82,"571,491","8,532,382",.,6.70
1992,FL,Final,"5,671,187","73,188,923",.,7.75,"3,461,113","52,620,260",.,6.58,"828,372","16,497,053",.,5.02,.,.,.,.,"320,479","4,703,701",.,6.81,"10,281,151","147,009,941",.,6.99
1992,GA,Final,"2,360,572","30,527,585",.,7.73,"1,778,117","23,714,683",.,7.50,"1,341,510","28,197,008",.,4.76,.,.,.,.,"82,847","952,156",.,8.70,"5,563,048","83,391,432",.,6.67
1992,HI,Final,"265,829","2,438,376",.,10.90,"248,185","2,356,266",.,10.53,"298,596","3,811,321",.,7.83,.,.,.,.,"5,915","60,930",.,9.71,"818,526","8,666,888",.,9.44
1992,IA,Final,"825,291","10,290,462",.,8.02,"445,939","7,018,603",.,6.35,"487,224","12,134,348",.,4.02,.,.,.,.,"48,762","764,661",.,6.38,"1,807,215","30,208,072",.,5.98
1992,ID,Final,"282,696","5,738,743",.,4.93,"229,549","5,339,620",.,4.30,"205,690","7,551,047",.,2.72,.,.,.,.,"16,767","378,794",.,4.43,"734,702","19,008,206",.,3.87
1992,IL,Final,"3,331,864","32,367,011",.,10.29,"2,544,669","31,456,855",.,8.09,"2,238,051","40,898,339",.,5.47,.,.,.,.,"540,692","7,798,316",.,6.93,"8,655,276","112,520,518",.,7.69
1992,IN,Final,"1,567,045","22,837,036",.,6.86,"964,336","16,082,608",.,6.00,"1,498,809","37,438,599",.,4.00,.,.,.,.,"50,672","618,567",.,8.19,"4,080,862","76,976,812",.,5.30
1992,KS,Final,"700,729","8,872,899",.,7.90,"627,408","9,399,895",.,6.67,"416,503","8,450,499",.,4.93,.,.,.,.,"30,719","345,814",.,8.88,"1,775,356","27,069,104",.,6.56
1992,KY,Final,"1,013,398","17,786,737",.,5.70,"506,407","9,575,691",.,5.29,"1,170,102","37,083,527",.,3.16,.,.,.,.,"122,268","2,621,861",.,4.66,"2,812,179","67,067,820",.,4.19
1992,LA,Final,"1,592,358","21,187,675",.,7.52,"994,671","13,838,870",.,7.19,"1,159,530","27,466,440",.,4.22,.,.,.,.,"167,815","2,605,342",.,6.44,"3,914,372","65,098,329",.,6.01
1992,MA,Final,"1,651,863","15,560,071",.,10.62,"1,734,562","18,629,489",.,9.31,"831,313","9,662,901",.,8.60,.,.,.,.,"129,142","1,145,620",.,11.27,"4,346,885","44,998,082",.,9.66
1992,MD,Final,"1,575,464","19,762,032",.,7.97,"763,510","10,769,686",.,7.09,"1,068,051","19,768,026",.,5.40,.,.,.,.,"61,480","689,042",.,8.92,"3,468,509","50,988,788",.,6.80
1992,ME,Final,"435,513","3,829,581",.,11.37,"253,127","2,729,541",.,9.27,"328,052","4,753,027",.,6.90,.,.,.,.,"22,058","170,874",.,12.91,"1,038,748","11,483,027",.,9.05
1992,MI,Final,"2,081,706","25,670,668",.,8.11,"1,755,745","21,208,469",.,8.28,"2,103,856","35,656,773",.,5.90,.,.,.,.,"121,259","1,304,317",.,9.30,"6,062,562","83,840,226",.,7.23
1992,MN,Final,"1,040,669","14,847,982",.,7.01,"507,940","8,290,948",.,6.13,"1,020,026","23,556,855",.,4.33,.,.,.,.,"49,722","716,369",.,6.94,"2,618,359","47,412,152",.,5.52
1992,MO,Final,"1,583,534","21,293,573",.,7.44,"1,200,407","18,792,384",.,6.39,"642,669","13,440,250",.,4.78,.,.,.,.,"62,491","884,646",.,7.06,"3,489,098","54,410,855",.,6.41
